ID,OPERACION,MSGID,CODIGO,TIEMPOMQ,TIPO,TiempoTransaccion
136,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C89B3,,8/05/2025 17:57,Req,
137,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C6BE7,,8/05/2025 17:58,Resp,00:25
138,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C6BE7,,8/05/2025 17:58,Req,
139,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13C5B4E,-22,8/05/2025 17:56,Resp,00:28
140,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13C5B4E,,8/05/2025 17:56,Req,
141,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13C538E,-22,8/05/2025 17:57,Resp,00:28
142,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13C538E,,8/05/2025 17:57,Req,
143,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13C27B3,-22,8/05/2025 17:57,Resp,00:28
144,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13C27B3,,8/05/2025 17:57,Req,
145,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C2707,-22,8/05/2025 17:55,Resp,00:28
146,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13C2707,,8/05/2025 17:55,Req,
147,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13BFE2C,-22,8/05/2025 17:56,Resp,00:28
148,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13BFE2C,,8/05/2025 17:55,Req,
149,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13BFB7E,-22,8/05/2025 17:57,Resp,00:28
150,EnviarCreditoUSDACH_NIC,414D5120464C434F524D455342524B41680ED698A13BFB7E,,8/05/2025 17:56,Req,
151,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13BFB7B,0,8/05/2025 17:56,Resp,00:00
152,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13BFB7B,,8/05/2025 17:56,Req,
153,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13BE7B6,-22,8/05/2025 17:57,Resp,00:29
154,EnviarCreditoCORACH_NIC,414D5120464C434F524D455342524B41680ED698A13BE7B6,,8/05/2025 17:57,Req,
155,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13BE546,0,8/05/2025 17:55,Resp,00:00
156,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13BE546,,8/05/2025 17:55,Req,
157,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13BC1F0,0,8/05/2025 17:58,Resp,00:00
158,ValidarDebitoCongeladoACH_NIC,414D5120464C434F524D455342524B41680ED698A13BC1F0,,8/05/2025 17:58,Req,
